24-Apr-15 21:38:35.319431 | DEBUG    | MAIN LOGGER                    | Config logger                                                                   
24-Apr-15 21:38:35.320432 | DEBUG    | MAIN LOGGER                    | IN create_and_config_files_and_folders()                                        
24-Apr-15 21:38:35.320432 | DEBUG    | MAIN LOGGER                    | get_default_folder_projects_dirpath() -> str: C:/Users/hayar/OneDrive/Документы\AutoExecDoc Projects
24-Apr-15 21:38:35.321432 | DEBUG    | MAIN LOGGER                    | IN create_and_config_db()                                                       
24-Apr-15 21:38:35.321432 | DEBUG    | MAIN LOGGER                    | get_db_settings_dirpath() -> str: d:\work\project\AutoExecDoc\db\settings.db    
24-Apr-15 21:38:35.323432 | DEBUG    | MAIN LOGGER                    | get_db_settings_dirpath() -> str: d:\work\project\AutoExecDoc\db\settings.db    
24-Apr-15 21:38:35.351579 | DEBUG    | MAIN LOGGER                    | IN view_test_pdf(self):                                                         
24-Apr-15 21:38:35.352579 | DEBUG    | MAIN LOGGER                    | get_documents_dirpath() -> str: C:/Users/hayar/OneDrive/Документы               
24-Apr-15 21:38:35.352579 | DEBUG    | MAIN LOGGER                    | IN load_pdf_for_view(self, file_path): file_path = C:\Users\hayar\OneDrive\Документы\test.pdf
24-Apr-15 21:38:35.385067 | DEBUG    | MAIN LOGGER                    | IN connect_statusbar()                                                          
24-Apr-15 21:38:35.386065 | DEBUG    | MAIN LOGGER                    | set_statusbar(statusbar)                                                        
24-Apr-15 21:38:35.386065 | DEBUG    | MAIN LOGGER                    | get_statusbar() -> MainWindow._statusbar                                        
24-Apr-15 21:38:35.386065 | DEBUG    | MAIN LOGGER                    | set_message_for_statusbar(Проект не открыт)                                     
24-Apr-15 21:38:35.387064 | DEBUG    | MAIN LOGGER                    | IN connect_structureexecdoc()                                                   
24-Apr-15 21:38:35.387064 | DEBUG    | MAIN LOGGER                    | set_tr_sed()                                                                    
24-Apr-15 21:38:35.388064 | DEBUG    | MAIN LOGGER                    | IN connect_pagestemplate(lw_pt)                                                 
24-Apr-15 21:38:35.388064 | DEBUG    | MAIN LOGGER                    | set_lw_pt()                                                                     
24-Apr-15 21:38:35.389065 | DEBUG    | MAIN LOGGER                    | IN connect_pagestemplate(sa_i, sa_il)                                           
24-Apr-15 21:38:35.389065 | DEBUG    | MAIN LOGGER                    | set_sa()                                                                        
24-Apr-15 21:38:35.391067 | DEBUG    | MAIN LOGGER                    | IN add_widget(widget)                                                           
24-Apr-15 21:38:35.392066 | DEBUG    | MAIN LOGGER                    | get_sa_il() -> object                                                           
24-Apr-15 21:38:35.392066 | DEBUG    | MAIN LOGGER                    | IN connecting_actions()                                                         
