24-May-11 19:26:13.967911 | DEBUG    | MAIN LOGGER                    | Config logger                                                                   
24-May-11 19:26:13.970394 | DEBUG    | MAIN LOGGER                    | self.current_directory = d:\work\project\AutoExecDoc                            
24-May-11 19:26:13.970394 | DEBUG    | MAIN LOGGER                    | IN create_and_config_files_and_folders()                                        
24-May-11 19:26:13.970394 | DEBUG    | MAIN LOGGER                    | get_default_folder_projects_dirpath() -> str: C:/Users/hayar/Documents\AutoExecDoc Projects
24-May-11 19:26:13.970394 | DEBUG    | MAIN LOGGER                    | IN create_and_config_db_settings()                                              
24-May-11 19:26:13.970394 | DEBUG    | MAIN LOGGER                    | get_db_settings_dirpath() -> str: d:\work\project\AutoExecDoc\db\settings.db    
24-May-11 19:26:13.970394 | DEBUG    | MAIN LOGGER                    | get_templates_main_dirpath() -> str: d:\work\project\AutoExecDoc\templates\main 
24-May-11 19:26:14.007202 | DEBUG    | MAIN LOGGER                    | IN config_controllers()                                                         
24-May-11 19:26:14.008195 | DEBUG    | MAIN LOGGER                    | IN connect_statusbar(statusbar)                                                 
24-May-11 19:26:14.008195 | DEBUG    | MAIN LOGGER                    | set_message_for_statusbar(Проект не открыт)                                     
24-May-11 19:26:14.009204 | DEBUG    | MAIN LOGGER                    | IN connect_structureexecdoc(tr_sed, title_sed)                                  
24-May-11 19:26:14.009204 | DEBUG    | MAIN LOGGER                    | IN clear_tr_sed()                                                               
24-May-11 19:26:14.010210 | DEBUG    | MAIN LOGGER                    | IN connect_pages_template(lw_pt)                                                
24-May-11 19:26:14.010210 | DEBUG    | MAIN LOGGER                    | IN connect_inputforms(sa_if, sa_ifl)                                            
24-May-11 19:26:14.011232 | DEBUG    | MAIN LOGGER                    | IN connecting_actions()                                                         
24-May-11 19:26:15.229098 | DEBUG    | MAIN LOGGER                    | IN open_project()                                                               
24-May-11 19:26:15.229098 | DEBUG    | MAIN LOGGER                    | get_default_folder_projects_dirpath() -> str: C:/Users/hayar/Documents\AutoExecDoc Projects
24-May-11 19:26:21.981030 | DEBUG    | MAIN LOGGER                    | select_folder_for_open_project() -> D:/общая папка/Новосергеевка                
24-May-11 19:26:21.981030 | DEBUG    | MAIN LOGGER                    | IN set_project_dirpaths(folder_path: str): folder_path = D:/общая папка/Новосергеевка
24-May-11 19:26:21.982030 | DEBUG    | MAIN LOGGER                    | set_project_dirpath(dirpath: str): dirpath = D:/общая папка/Новосергеевка       
24-May-11 19:26:21.982030 | DEBUG    | MAIN LOGGER                    | get_project_dirpath() -> str: D:/общая папка/Новосергеевка                      
24-May-11 19:26:21.982030 | DEBUG    | MAIN LOGGER                    | set_db_project_dirpath(dirpath: str): dirpath = D:/общая папка/Новосергеевка\project.db
24-May-11 19:26:21.983031 | DEBUG    | MAIN LOGGER                    | IN config_open_project()                                                        
24-May-11 19:26:21.983031 | DEBUG    | MAIN LOGGER                    | get_project_dirpath() -> str: D:/общая папка/Новосергеевка                      
24-May-11 19:26:21.983031 | DEBUG    | MAIN LOGGER                    | IN add_or_update_open_project_to_db()                                           
24-May-11 19:26:21.984031 | DEBUG    | MAIN LOGGER                    | get_db_settings_dirpath() -> str: d:\work\project\AutoExecDoc\db\settings.db    
24-May-11 19:26:21.984031 | DEBUG    | MAIN LOGGER                    | get_project_dirpath() -> str: D:/общая папка/Новосергеевка                      
24-May-11 19:26:21.984031 | DEBUG    | MAIN LOGGER                    | get_project_dirpath() -> str: D:/общая папка/Новосергеевка                      
24-May-11 19:26:21.985030 | DEBUG    | MAIN LOGGER                    | IN update_project_to_db()                                                       
24-May-11 19:26:21.985030 | DEBUG    | MAIN LOGGER                    | get_db_settings_dirpath() -> str: d:\work\project\AutoExecDoc\db\settings.db    
24-May-11 19:26:21.986030 | DEBUG    | MAIN LOGGER                    | get_project_dirpath() -> str: D:/общая папка/Новосергеевка                      
24-May-11 19:26:21.986030 | DEBUG    | MAIN LOGGER                    | get_project_dirpath() -> str: D:/общая папка/Новосергеевка                      
24-May-11 19:26:21.991031 | DEBUG    | MAIN LOGGER                    | IN create_and_config_db_project()                                               
24-May-11 19:26:21.991031 | DEBUG    | MAIN LOGGER                    | get_db_project_dirpath() -> str: D:/общая папка/Новосергеевка\project.db        
24-May-11 19:26:21.992033 | DEBUG    | MAIN LOGGER                    | IN set_all_included_in_db_project_to_true()                                     
24-May-11 19:26:21.992033 | DEBUG    | MAIN LOGGER                    | get_db_project_dirpath() -> str: D:/общая папка/Новосергеевка\project.db        
24-May-11 19:26:21.993032 | DEBUG    | MAIN LOGGER                    | IN update_structure_exec_doc()                                                  
24-May-11 19:26:21.993935 | DEBUG    | MAIN LOGGER                    | IN clear_tr_sed()                                                               
24-May-11 19:26:21.993935 | DEBUG    | MAIN LOGGER                    | get_current_name() -> str: Новосергеевка                                        
24-May-11 19:26:21.993935 | DEBUG    | MAIN LOGGER                    | IN get_project_node() -> object                                                 
24-May-11 19:26:21.993935 | DEBUG    | MAIN LOGGER                    | get_db_project_dirpath() -> str: D:/общая папка/Новосергеевка\project.db        
24-May-11 19:26:21.993935 | DEBUG    | MAIN LOGGER                    | IN dfs(parent_node): parent_node = {'id_node': 0, 'name_node': 'Проект', 'id_parent': None, 'order_node': '0', 'type_node': 'PROJECT', 'template_name': None, 'included': 1}
24-May-11 19:26:21.993935 | DEBUG    | MAIN LOGGER                    | IN get_childs(parent_node) -> list: parent_node = {'id_node': 0, 'name_node': 'Проект', 'id_parent': None, 'order_node': '0', 'type_node': 'PROJECT', 'template_name': None, 'included': 1}
24-May-11 19:26:21.993935 | DEBUG    | MAIN LOGGER                    | get_db_project_dirpath() -> str: D:/общая папка/Новосергеевка\project.db        
24-May-11 19:26:21.998787 | DEBUG    | MAIN LOGGER                    | IN set_item_in_nodes_to_items(node): node = {'id_node': 10, 'name_node': 'Титульный лист', 'id_parent': 0, 'order_node': '1', 'type_node': 'FORM', 'template_name': 'main', 'included': 1}
24-May-11 19:26:21.999786 | DEBUG    | MAIN LOGGER                    | IN set_state_included_for_childs(node, state): id_node = 10, state = False      
24-May-11 19:26:22.000788 | DEBUG    | MAIN LOGGER                    | IN set_included_for_node(node, state): node = {'id_node': 10, 'name_node': 'Титульный лист', 'id_parent': 0, 'order_node': '1', 'type_node': 'FORM', 'template_name': 'main', 'included': 1}, state = 0
24-May-11 19:26:22.000788 | DEBUG    | MAIN LOGGER                    | get_db_project_dirpath() -> str: D:/общая папка/Новосергеевка\project.db        
24-May-11 19:26:22.005787 | DEBUG    | MAIN LOGGER                    | IN set_state_included_for_childs(node, state): id_node = 10, state = True       
24-May-11 19:26:22.006788 | DEBUG    | MAIN LOGGER                    | IN set_included_for_node(node, state): node = {'id_node': 10, 'name_node': 'Титульный лист', 'id_parent': 0, 'order_node': '1', 'type_node': 'FORM', 'template_name': 'main', 'included': 1}, state = 1
24-May-11 19:26:22.007854 | DEBUG    | MAIN LOGGER                    | get_db_project_dirpath() -> str: D:/общая папка/Новосергеевка\project.db        
24-May-11 19:26:22.011247 | DEBUG    | MAIN LOGGER                    | IN dfs(parent_node): parent_node = {'id_node': 10, 'name_node': 'Титульный лист', 'id_parent': 0, 'order_node': '1', 'type_node': 'FORM', 'template_name': 'main', 'included': 1}
24-May-11 19:26:22.011247 | DEBUG    | MAIN LOGGER                    | IN get_childs(parent_node) -> list: parent_node = {'id_node': 10, 'name_node': 'Титульный лист', 'id_parent': 0, 'order_node': '1', 'type_node': 'FORM', 'template_name': 'main', 'included': 1}
24-May-11 19:26:22.012594 | DEBUG    | MAIN LOGGER                    | get_db_project_dirpath() -> str: D:/общая папка/Новосергеевка\project.db        
24-May-11 19:26:22.013618 | DEBUG    | MAIN LOGGER                    | IN set_item_in_nodes_to_items(node): node = {'id_node': 11, 'name_node': 'Реестр документации', 'id_parent': 0, 'order_node': '2', 'type_node': 'FORM', 'template_name': 'main', 'included': 1}
24-May-11 19:26:22.013969 | DEBUG    | MAIN LOGGER                    | IN set_state_included_for_childs(node, state): id_node = 11, state = False      
24-May-11 19:26:22.014979 | DEBUG    | MAIN LOGGER                    | IN set_included_for_node(node, state): node = {'id_node': 11, 'name_node': 'Реестр документации', 'id_parent': 0, 'order_node': '2', 'type_node': 'FORM', 'template_name': 'main', 'included': 1}, state = 0
24-May-11 19:26:22.014979 | DEBUG    | MAIN LOGGER                    | get_db_project_dirpath() -> str: D:/общая папка/Новосергеевка\project.db        
24-May-11 19:26:22.018969 | DEBUG    | MAIN LOGGER                    | IN set_state_included_for_childs(node, state): id_node = 11, state = True       
24-May-11 19:26:22.018969 | DEBUG    | MAIN LOGGER                    | IN set_included_for_node(node, state): node = {'id_node': 11, 'name_node': 'Реестр документации', 'id_parent': 0, 'order_node': '2', 'type_node': 'FORM', 'template_name': 'main', 'included': 1}, state = 1
24-May-11 19:26:22.020708 | DEBUG    | MAIN LOGGER                    | get_db_project_dirpath() -> str: D:/общая папка/Новосергеевка\project.db        
24-May-11 19:26:22.023951 | DEBUG    | MAIN LOGGER                    | IN dfs(parent_node): parent_node = {'id_node': 11, 'name_node': 'Реестр документации', 'id_parent': 0, 'order_node': '2', 'type_node': 'FORM', 'template_name': 'main', 'included': 1}
24-May-11 19:26:22.024648 | DEBUG    | MAIN LOGGER                    | IN get_childs(parent_node) -> list: parent_node = {'id_node': 11, 'name_node': 'Реестр документации', 'id_parent': 0, 'order_node': '2', 'type_node': 'FORM', 'template_name': 'main', 'included': 1}
24-May-11 19:26:22.024985 | DEBUG    | MAIN LOGGER                    | get_db_project_dirpath() -> str: D:/общая папка/Новосергеевка\project.db        
24-May-11 19:26:22.025984 | DEBUG    | MAIN LOGGER                    | IN set_item_in_nodes_to_items(node): node = {'id_node': 12, 'name_node': 'Паспорт трассы', 'id_parent': 0, 'order_node': '3', 'type_node': 'GROUP', 'template_name': None, 'included': 1}
24-May-11 19:26:22.025984 | DEBUG    | MAIN LOGGER                    | IN set_state_included_for_childs(node, state): id_node = 12, state = False      
24-May-11 19:26:22.025984 | DEBUG    | MAIN LOGGER                    | IN set_included_for_node(node, state): node = {'id_node': 12, 'name_node': 'Паспорт трассы', 'id_parent': 0, 'order_node': '3', 'type_node': 'GROUP', 'template_name': None, 'included': 1}, state = 0
24-May-11 19:26:22.027336 | DEBUG    | MAIN LOGGER                    | get_db_project_dirpath() -> str: D:/общая папка/Новосергеевка\project.db        
24-May-11 19:26:22.030334 | DEBUG    | MAIN LOGGER                    | IN set_state_included_for_childs(node, state): id_node = 12, state = True       
24-May-11 19:26:22.031335 | DEBUG    | MAIN LOGGER                    | IN set_included_for_node(node, state): node = {'id_node': 12, 'name_node': 'Паспорт трассы', 'id_parent': 0, 'order_node': '3', 'type_node': 'GROUP', 'template_name': None, 'included': 1}, state = 1
24-May-11 19:26:22.032335 | DEBUG    | MAIN LOGGER                    | get_db_project_dirpath() -> str: D:/общая папка/Новосергеевка\project.db        
24-May-11 19:26:22.035507 | DEBUG    | MAIN LOGGER                    | IN dfs(parent_node): parent_node = {'id_node': 12, 'name_node': 'Паспорт трассы', 'id_parent': 0, 'order_node': '3', 'type_node': 'GROUP', 'template_name': None, 'included': 1}
