24-Apr-18 02:36:27.664473 | DEBUG    | MAIN LOGGER                    | Config logger                                                                   
24-Apr-18 02:36:27.665463 | DEBUG    | MAIN LOGGER                    | IN create_and_config_files_and_folders()                                        
24-Apr-18 02:36:27.666464 | DEBUG    | MAIN LOGGER                    | get_default_folder_projects_dirpath() -> str: C:/Users/hayar/OneDrive/Документы\AutoExecDoc Projects
24-Apr-18 02:36:27.667461 | DEBUG    | MAIN LOGGER                    | IN create_and_config_db_settings()                                              
24-Apr-18 02:36:27.667461 | DEBUG    | MAIN LOGGER                    | get_db_settings_dirpath() -> str: d:\work\project\AutoExecDoc\db\settings.db    
24-Apr-18 02:36:27.709383 | DEBUG    | MAIN LOGGER                    | IN view_test_pdf(self):                                                         
24-Apr-18 02:36:27.710259 | DEBUG    | MAIN LOGGER                    | get_documents_dirpath() -> str: C:/Users/hayar/OneDrive/Документы               
24-Apr-18 02:36:27.710259 | DEBUG    | MAIN LOGGER                    | IN load_pdf_for_view(self, file_path): file_path = C:\Users\hayar\OneDrive\Документы\test.pdf
24-Apr-18 02:36:27.761894 | DEBUG    | MAIN LOGGER                    | IN connect_statusbar()                                                          
24-Apr-18 02:36:27.762877 | DEBUG    | MAIN LOGGER                    | set_statusbar()                                                                 
24-Apr-18 02:36:27.763877 | DEBUG    | MAIN LOGGER                    | get_statusbar()                                                                 
24-Apr-18 02:36:27.763877 | DEBUG    | MAIN LOGGER                    | set_message_for_statusbar(Проект не открыт)                                     
24-Apr-18 02:36:27.764875 | DEBUG    | MAIN LOGGER                    | IN connect_structureexecdoc()                                                   
24-Apr-18 02:36:27.765876 | DEBUG    | MAIN LOGGER                    | set_tr_sed()                                                                    
24-Apr-18 02:36:27.765876 | DEBUG    | MAIN LOGGER                    | IN clear_tr_sed()                                                               
24-Apr-18 02:36:27.766876 | DEBUG    | MAIN LOGGER                    | get_tr_sed() -> object                                                          
24-Apr-18 02:36:27.767875 | DEBUG    | MAIN LOGGER                    | IN connect_pagestemplate(lw_pt)                                                 
24-Apr-18 02:36:27.768877 | DEBUG    | MAIN LOGGER                    | set_lw_pt()                                                                     
24-Apr-18 02:36:27.770035 | DEBUG    | MAIN LOGGER                    | IN connect_pagestemplate(sa_i, sa_il)                                           
24-Apr-18 02:36:27.770877 | DEBUG    | MAIN LOGGER                    | set_sa()                                                                        
24-Apr-18 02:36:27.773890 | DEBUG    | MAIN LOGGER                    | IN add_widget(widget)                                                           
24-Apr-18 02:36:27.775022 | DEBUG    | MAIN LOGGER                    | get_sa_il() -> object                                                           
24-Apr-18 02:36:27.775877 | DEBUG    | MAIN LOGGER                    | IN connecting_actions()                                                         
24-Apr-18 02:36:28.767006 | DEBUG    | MAIN LOGGER                    | IN open_project()                                                               
24-Apr-18 02:36:28.769007 | DEBUG    | MAIN LOGGER                    | is_active_status() -> bool: False                                               
24-Apr-18 02:36:28.769007 | DEBUG    | MAIN LOGGER                    | get_default_folder_projects_dirpath() -> str: C:/Users/hayar/OneDrive/Документы\AutoExecDoc Projects
24-Apr-18 02:36:30.630725 | DEBUG    | MAIN LOGGER                    | select_folder_for_open_project() -> C:/Users/hayar/OneDrive/Документы/AutoExecDoc Projects/яблоко
24-Apr-18 02:36:30.631725 | DEBUG    | MAIN LOGGER                    | IN set_project_dirpaths(folder_path: str): folder_path = C:/Users/hayar/OneDrive/Документы/AutoExecDoc Projects/яблоко
24-Apr-18 02:36:30.632726 | DEBUG    | MAIN LOGGER                    | set_project_dirpath(dirpath: str): dirpath = C:/Users/hayar/OneDrive/Документы/AutoExecDoc Projects/яблоко
24-Apr-18 02:36:30.633726 | DEBUG    | MAIN LOGGER                    | get_project_dirpath() -> str: C:/Users/hayar/OneDrive/Документы/AutoExecDoc Projects/яблоко
24-Apr-18 02:36:30.634726 | DEBUG    | MAIN LOGGER                    | set_db_project_dirpath(dirpath: str): dirpath = C:/Users/hayar/OneDrive/Документы/AutoExecDoc Projects/яблоко\project.db
24-Apr-18 02:36:30.634726 | DEBUG    | MAIN LOGGER                    | IN config_open_project()                                                        
24-Apr-18 02:36:30.635727 | DEBUG    | MAIN LOGGER                    | get_project_dirpath() -> str: C:/Users/hayar/OneDrive/Документы/AutoExecDoc Projects/яблоко
24-Apr-18 02:36:30.636727 | DEBUG    | MAIN LOGGER                    | set_current_name(name: str): name = яблоко                                      
24-Apr-18 02:36:30.637727 | DEBUG    | MAIN LOGGER                    | IN add_or_update_open_project_to_db()                                           
24-Apr-18 02:36:30.638728 | DEBUG    | MAIN LOGGER                    | get_db_settings_dirpath() -> str: d:\work\project\AutoExecDoc\db\settings.db    
24-Apr-18 02:36:30.640742 | DEBUG    | MAIN LOGGER                    | get_project_dirpath() -> str: C:/Users/hayar/OneDrive/Документы/AutoExecDoc Projects/яблоко
24-Apr-18 02:36:30.641728 | DEBUG    | MAIN LOGGER                    | get_project_dirpath() -> str: C:/Users/hayar/OneDrive/Документы/AutoExecDoc Projects/яблоко
24-Apr-18 02:36:30.642731 | DEBUG    | MAIN LOGGER                    | IN update_project_to_db()                                                       
24-Apr-18 02:36:30.643730 | DEBUG    | MAIN LOGGER                    | get_db_settings_dirpath() -> str: d:\work\project\AutoExecDoc\db\settings.db    
24-Apr-18 02:36:30.644741 | DEBUG    | MAIN LOGGER                    | get_project_dirpath() -> str: C:/Users/hayar/OneDrive/Документы/AutoExecDoc Projects/яблоко
24-Apr-18 02:36:30.645730 | DEBUG    | MAIN LOGGER                    | get_project_dirpath() -> str: C:/Users/hayar/OneDrive/Документы/AutoExecDoc Projects/яблоко
24-Apr-18 02:36:30.652314 | DEBUG    | MAIN LOGGER                    | IN create_and_config_db_project()                                               
24-Apr-18 02:36:30.653313 | DEBUG    | MAIN LOGGER                    | get_db_project_dirpath() -> str: C:/Users/hayar/OneDrive/Документы/AutoExecDoc Projects/яблоко\project.db
24-Apr-18 02:36:30.653313 | DEBUG    | MAIN LOGGER                    | IN create_structure_exec_doc()                                                  
24-Apr-18 02:36:30.654313 | DEBUG    | MAIN LOGGER                    | IN get_project_node()                                                           
24-Apr-18 02:36:30.655313 | DEBUG    | MAIN LOGGER                    | get_db_project_dirpath() -> str: C:/Users/hayar/OneDrive/Документы/AutoExecDoc Projects/яблоко\project.db
