24-Apr-25 19:30:31.540039 | DEBUG    | MAIN LOGGER                    | Config logger                                                                   
24-Apr-25 19:30:31.541041 | DEBUG    | MAIN LOGGER                    | self.current_directory = D:\work\project\AutoExecDoc                            
24-Apr-25 19:30:31.541041 | DEBUG    | MAIN LOGGER                    | IN create_and_config_files_and_folders()                                        
24-Apr-25 19:30:31.542042 | DEBUG    | MAIN LOGGER                    | get_default_folder_projects_dirpath() -> str: C:/Users/hayar/OneDrive/Документы\AutoExecDoc Projects
24-Apr-25 19:30:31.542042 | DEBUG    | MAIN LOGGER                    | IN create_and_config_db_settings()                                              
24-Apr-25 19:30:31.543041 | DEBUG    | MAIN LOGGER                    | get_db_settings_dirpath() -> str: D:\work\project\AutoExecDoc\db\settings.db    
24-Apr-25 19:30:31.543041 | DEBUG    | MAIN LOGGER                    | get_templates_main_dirpath() -> str: D:\work\project\AutoExecDoc\templates\main 
24-Apr-25 19:30:31.582056 | DEBUG    | MAIN LOGGER                    | IN config_controllers()                                                         
24-Apr-25 19:30:31.582056 | DEBUG    | MAIN LOGGER                    | IN connect_statusbar(statusbar)                                                 
24-Apr-25 19:30:31.583058 | DEBUG    | MAIN LOGGER                    | set_message_for_statusbar(Проект не открыт)                                     
24-Apr-25 19:30:31.584056 | DEBUG    | MAIN LOGGER                    | IN connect_structureexecdoc(tr_sed, title_sed)                                  
24-Apr-25 19:30:31.584056 | DEBUG    | MAIN LOGGER                    | IN clear_tr_sed()                                                               
24-Apr-25 19:30:31.584056 | DEBUG    | MAIN LOGGER                    | IN connect_pages_template(lw_pt)                                                
24-Apr-25 19:30:31.585057 | DEBUG    | MAIN LOGGER                    | IN connect_inputforms(sa_if, sa_ifl)                                            
24-Apr-25 19:30:31.585057 | DEBUG    | MAIN LOGGER                    | IN connecting_actions()                                                         
24-Apr-25 19:30:32.425328 | DEBUG    | MAIN LOGGER                    | IN new_project()                                                                
24-Apr-25 19:30:32.426114 | DEBUG    | MAIN LOGGER                    | IN select_folder_for_new_project() -> str                                       
24-Apr-25 19:30:32.428100 | DEBUG    | MAIN LOGGER                    | get_default_folder_projects_dirpath() -> str: C:/Users/hayar/OneDrive/Документы\AutoExecDoc Projects
24-Apr-25 19:30:38.859716 | DEBUG    | MAIN LOGGER                    | select_folder_for_new_project() -> C:/Users/hayar/OneDrive/Документы/AutoExecDoc Projects/Новая папка
24-Apr-25 19:30:38.860717 | DEBUG    | MAIN LOGGER                    | IN set_project_dirpaths(folder_path: str): folder_path = C:/Users/hayar/OneDrive/Документы/AutoExecDoc Projects/Новая папка
24-Apr-25 19:30:38.862716 | DEBUG    | MAIN LOGGER                    | set_project_dirpath(dirpath: str): dirpath = C:/Users/hayar/OneDrive/Документы/AutoExecDoc Projects/Новая папка
24-Apr-25 19:30:38.863717 | DEBUG    | MAIN LOGGER                    | get_project_dirpath() -> str: C:/Users/hayar/OneDrive/Документы/AutoExecDoc Projects/Новая папка
24-Apr-25 19:30:38.863717 | DEBUG    | MAIN LOGGER                    | set_db_project_dirpath(dirpath: str): dirpath = C:/Users/hayar/OneDrive/Документы/AutoExecDoc Projects/Новая папка\project.db
24-Apr-25 19:30:38.864717 | DEBUG    | MAIN LOGGER                    | IN config_new_project()                                                         
24-Apr-25 19:30:38.864717 | DEBUG    | MAIN LOGGER                    | get_project_dirpath() -> str: C:/Users/hayar/OneDrive/Документы/AutoExecDoc Projects/Новая папка
24-Apr-25 19:30:38.865718 | DEBUG    | MAIN LOGGER                    | IN add_new_project_to_db()                                                      
24-Apr-25 19:30:38.865718 | DEBUG    | MAIN LOGGER                    | get_db_settings_dirpath() -> str: D:\work\project\AutoExecDoc\db\settings.db    
24-Apr-25 19:30:38.866717 | DEBUG    | MAIN LOGGER                    | get_project_dirpath() -> str: C:/Users/hayar/OneDrive/Документы/AutoExecDoc Projects/Новая папка
24-Apr-25 19:30:38.866717 | DEBUG    | MAIN LOGGER                    | get_project_dirpath() -> str: C:/Users/hayar/OneDrive/Документы/AutoExecDoc Projects/Новая папка
24-Apr-25 19:30:38.871719 | DEBUG    | MAIN LOGGER                    | IN create_and_config_db_project()                                               
24-Apr-25 19:30:38.871719 | DEBUG    | MAIN LOGGER                    | get_db_project_dirpath() -> str: C:/Users/hayar/OneDrive/Документы/AutoExecDoc Projects/Новая папка\project.db
24-Apr-25 19:30:38.872720 | DEBUG    | MAIN LOGGER                    | IN add_tables_and_datas_to_empty_db_project()                                   
24-Apr-25 19:30:38.872720 | DEBUG    | MAIN LOGGER                    | get_db_project_dirpath() -> str: C:/Users/hayar/OneDrive/Документы/AutoExecDoc Projects/Новая папка\project.db
24-Apr-25 19:30:38.880720 | DEBUG    | MAIN LOGGER                    | IN set_all_included_in_db_project_to_true()                                     
24-Apr-25 19:30:38.880720 | DEBUG    | MAIN LOGGER                    | get_db_project_dirpath() -> str: C:/Users/hayar/OneDrive/Документы/AutoExecDoc Projects/Новая папка\project.db
24-Apr-25 19:30:38.882723 | DEBUG    | MAIN LOGGER                    | IN update_structure_exec_doc()                                                  
24-Apr-25 19:30:38.882723 | DEBUG    | MAIN LOGGER                    | IN clear_tr_sed()                                                               
24-Apr-25 19:30:38.882723 | DEBUG    | MAIN LOGGER                    | get_current_name() -> str: Новая папка                                          
24-Apr-25 19:30:38.883721 | DEBUG    | MAIN LOGGER                    | IN get_project_node() -> object                                                 
24-Apr-25 19:30:38.883721 | DEBUG    | MAIN LOGGER                    | get_db_project_dirpath() -> str: C:/Users/hayar/OneDrive/Документы/AutoExecDoc Projects/Новая папка\project.db
24-Apr-25 19:30:38.884721 | DEBUG    | MAIN LOGGER                    | IN dfs(parent_node): parent_node = {'id_node': 0, 'name_node': 'Проект', 'id_parent': None, 'order_node': '0', 'type_node': 'PROJECT', 'template_name': None, 'included': 1}
24-Apr-25 19:30:38.885722 | DEBUG    | MAIN LOGGER                    | IN get_childs(parent_node) -> list: parent_node = {'id_node': 0, 'name_node': 'Проект', 'id_parent': None, 'order_node': '0', 'type_node': 'PROJECT', 'template_name': None, 'included': 1}
24-Apr-25 19:30:38.887722 | DEBUG    | MAIN LOGGER                    | get_db_project_dirpath() -> str: C:/Users/hayar/OneDrive/Документы/AutoExecDoc Projects/Новая папка\project.db
24-Apr-25 19:30:38.888724 | DEBUG    | MAIN LOGGER                    | IN set_item_in_nodes_to_items(node): node = {'id_node': 10, 'name_node': 'Титульный лист', 'id_parent': 0, 'order_node': '1', 'type_node': 'FORM', 'template_name': 'main', 'included': 1}
24-Apr-25 19:30:38.889725 | DEBUG    | MAIN LOGGER                    | IN set_state_included_for_childs(node, state): id_node = 10, state = False      
24-Apr-25 19:30:38.890723 | DEBUG    | MAIN LOGGER                    | IN set_included_for_node(node, state): node = {'id_node': 10, 'name_node': 'Титульный лист', 'id_parent': 0, 'order_node': '1', 'type_node': 'FORM', 'template_name': 'main', 'included': 1}, state = 0
24-Apr-25 19:30:38.890723 | DEBUG    | MAIN LOGGER                    | get_db_project_dirpath() -> str: C:/Users/hayar/OneDrive/Документы/AutoExecDoc Projects/Новая папка\project.db
