24-Apr-14 21:13:13.102891 | DEBUG    | MAIN LOGGER                    | Config logger                                                                   
24-Apr-14 21:13:13.102891 | DEBUG    | MAIN LOGGER                    | IN create_and_config_files_and_folders()                                        
24-Apr-14 21:13:13.103892 | DEBUG    | MAIN LOGGER                    | get_default_folder_projects_dirpath() -> str: C:/Users/hayar/OneDrive/Документы\AutoExecDoc Projects
24-Apr-14 21:13:13.103892 | DEBUG    | MAIN LOGGER                    | IN create_and_config_db()                                                       
24-Apr-14 21:13:13.103892 | DEBUG    | MAIN LOGGER                    | get_db_settings_dirpath() -> str: d:\work\project\AutoExecDoc\db\settings.db    
24-Apr-14 21:13:13.104890 | DEBUG    | MAIN LOGGER                    | get_db_settings_dirpath() -> str: d:\work\project\AutoExecDoc\db\settings.db    
24-Apr-14 21:13:13.140445 | DEBUG    | MAIN LOGGER                    | IN view_test_pdf(self):                                                         
24-Apr-14 21:13:13.140445 | DEBUG    | MAIN LOGGER                    | get_documents_dirpath() -> str: C:/Users/hayar/OneDrive/Документы               
24-Apr-14 21:13:13.141443 | DEBUG    | MAIN LOGGER                    | IN load_pdf_for_view(self, file_path): file_path = C:\Users\hayar\OneDrive\Документы\test.pdf
24-Apr-14 21:13:13.186354 | DEBUG    | MAIN LOGGER                    | IN connect_statusbar()                                                          
24-Apr-14 21:13:13.186354 | DEBUG    | MAIN LOGGER                    | set_statusbar(statusbar)                                                        
24-Apr-14 21:13:13.187354 | DEBUG    | MAIN LOGGER                    | get_statusbar() -> MainWindow._statusbar                                        
24-Apr-14 21:13:13.187354 | DEBUG    | MAIN LOGGER                    | set_message_for_statusbar(Проект не открыт)                                     
24-Apr-14 21:13:13.188353 | DEBUG    | MAIN LOGGER                    | IN connecting_actions()                                                         
24-Apr-14 21:14:07.307704 | DEBUG    | MAIN LOGGER                    | zoom_in(self): self.zoom = 1.1                                                  
24-Apr-14 21:14:07.453837 | DEBUG    | MAIN LOGGER                    | zoom_in(self): self.zoom = 1.2000000000000002                                   
24-Apr-14 21:14:07.600929 | DEBUG    | MAIN LOGGER                    | zoom_in(self): self.zoom = 1.3000000000000003                                   
24-Apr-14 21:14:07.871857 | DEBUG    | MAIN LOGGER                    | zoom_out(self): self.zoom = 1.2000000000000002                                  
24-Apr-14 21:14:08.379582 | DEBUG    | MAIN LOGGER                    | zoom_out(self): self.zoom = 1.1                                                 
24-Apr-14 21:14:08.410358 | DEBUG    | MAIN LOGGER                    | zoom_out(self): self.zoom = 1.0                                                 
24-Apr-14 21:14:08.442032 | DEBUG    | MAIN LOGGER                    | zoom_out(self): self.zoom = 0.9                                                 
24-Apr-14 21:14:08.472489 | DEBUG    | MAIN LOGGER                    | zoom_out(self): self.zoom = 0.8                                                 
24-Apr-14 21:14:08.501556 | DEBUG    | MAIN LOGGER                    | zoom_out(self): self.zoom = 0.7000000000000001                                  
24-Apr-14 21:14:08.621154 | DEBUG    | MAIN LOGGER                    | zoom_out(self): self.zoom = 0.6000000000000001                                  
24-Apr-14 21:14:08.772880 | DEBUG    | MAIN LOGGER                    | zoom_out(self): self.zoom = 0.5000000000000001                                  
24-Apr-14 21:14:08.908320 | DEBUG    | MAIN LOGGER                    | zoom_out(self): self.zoom = 0.40000000000000013                                 
24-Apr-14 21:14:09.065132 | DEBUG    | MAIN LOGGER                    | zoom_out(self): self.zoom = 0.30000000000000016                                 
24-Apr-14 21:14:09.421965 | DEBUG    | MAIN LOGGER                    | zoom_in(self): self.zoom = 0.40000000000000013                                  
24-Apr-14 21:14:09.577617 | DEBUG    | MAIN LOGGER                    | zoom_in(self): self.zoom = 0.5000000000000001                                   
24-Apr-14 21:14:09.724572 | DEBUG    | MAIN LOGGER                    | zoom_in(self): self.zoom = 0.6000000000000001                                   
24-Apr-14 21:14:09.866475 | DEBUG    | MAIN LOGGER                    | zoom_in(self): self.zoom = 0.7000000000000001                                   
24-Apr-14 21:14:09.995811 | DEBUG    | MAIN LOGGER                    | zoom_in(self): self.zoom = 0.8                                                  
24-Apr-14 21:14:10.303327 | DEBUG    | MAIN LOGGER                    | zoom_out(self): self.zoom = 0.7000000000000001                                  
24-Apr-14 21:14:10.449137 | DEBUG    | MAIN LOGGER                    | zoom_out(self): self.zoom = 0.6000000000000001                                  
