24-Apr-25 22:25:53.730110 | DEBUG    | MAIN LOGGER                    | Config logger                                                                   
24-Apr-25 22:25:53.731148 | DEBUG    | MAIN LOGGER                    | self.current_directory = d:\work\project\AutoExecDoc                            
24-Apr-25 22:25:53.731663 | DEBUG    | MAIN LOGGER                    | IN create_and_config_files_and_folders()                                        
24-Apr-25 22:25:53.732178 | DEBUG    | MAIN LOGGER                    | get_default_folder_projects_dirpath() -> str: C:/Users/hayar/OneDrive/Документы\AutoExecDoc Projects
24-Apr-25 22:25:53.732693 | DEBUG    | MAIN LOGGER                    | IN create_and_config_db_settings()                                              
24-Apr-25 22:25:53.733207 | DEBUG    | MAIN LOGGER                    | get_db_settings_dirpath() -> str: d:\work\project\AutoExecDoc\db\settings.db    
24-Apr-25 22:25:53.733207 | DEBUG    | MAIN LOGGER                    | get_templates_main_dirpath() -> str: d:\work\project\AutoExecDoc\templates\main 
24-Apr-25 22:25:53.778940 | DEBUG    | MAIN LOGGER                    | IN config_controllers()                                                         
24-Apr-25 22:25:53.779461 | DEBUG    | MAIN LOGGER                    | IN connect_statusbar(statusbar)                                                 
24-Apr-25 22:25:53.780490 | DEBUG    | MAIN LOGGER                    | set_message_for_statusbar(Проект не открыт)                                     
24-Apr-25 22:25:53.780498 | DEBUG    | MAIN LOGGER                    | IN connect_structureexecdoc(tr_sed, title_sed)                                  
24-Apr-25 22:25:53.781010 | DEBUG    | MAIN LOGGER                    | IN clear_tr_sed()                                                               
24-Apr-25 22:25:53.781526 | DEBUG    | MAIN LOGGER                    | IN connect_pages_template(lw_pt)                                                
24-Apr-25 22:25:53.782036 | DEBUG    | MAIN LOGGER                    | IN connect_inputforms(sa_if, sa_ifl)                                            
24-Apr-25 22:25:53.782546 | DEBUG    | MAIN LOGGER                    | IN connecting_actions()                                                         
24-Apr-25 22:25:55.413174 | DEBUG    | MAIN LOGGER                    | IN closeEvent(self, event): event = <PySide6.QtCore.QEvent(QEvent::Close)>      
24-Apr-25 22:25:55.413690 | DEBUG    | MAIN LOGGER                    | get_temp_dirpath() -> str:                                                      
24-Apr-25 22:25:55.414211 | DEBUG    | MAIN LOGGER                    | IN clear_temp_folder(is_del_folder): is_del_folder = True, temp_dirpath = C:\Users\hayar\AppData\Local\Temp\tmp4a5cn7dz
24-Apr-25 22:25:55.414728 | DEBUG    | MAIN LOGGER                    | get_temp_dirpath() -> str:                                                      
