24-May-11 17:35:06.486220 | DEBUG    | MAIN LOGGER                    | Config logger                                                                   
24-May-11 17:35:06.486220 | DEBUG    | MAIN LOGGER                    | self.current_directory = d:\work\project\AutoExecDoc                            
24-May-11 17:35:06.487221 | DEBUG    | MAIN LOGGER                    | IN create_and_config_files_and_folders()                                        
24-May-11 17:35:06.487221 | DEBUG    | MAIN LOGGER                    | get_default_folder_projects_dirpath() -> str: C:/Users/hayar/Documents\AutoExecDoc Projects
24-May-11 17:35:06.487221 | DEBUG    | MAIN LOGGER                    | IN create_and_config_db_settings()                                              
24-May-11 17:35:06.488221 | DEBUG    | MAIN LOGGER                    | get_db_settings_dirpath() -> str: d:\work\project\AutoExecDoc\db\settings.db    
24-May-11 17:35:06.489220 | DEBUG    | MAIN LOGGER                    | get_templates_main_dirpath() -> str: d:\work\project\AutoExecDoc\templates\main 
24-May-11 17:35:06.532252 | DEBUG    | MAIN LOGGER                    | IN config_controllers()                                                         
24-May-11 17:35:06.532252 | DEBUG    | MAIN LOGGER                    | IN connect_statusbar(statusbar)                                                 
24-May-11 17:35:06.533252 | DEBUG    | MAIN LOGGER                    | set_message_for_statusbar(Проект не открыт)                                     
24-May-11 17:35:06.533252 | DEBUG    | MAIN LOGGER                    | IN connect_structureexecdoc(tr_sed, title_sed)                                  
24-May-11 17:35:06.533252 | DEBUG    | MAIN LOGGER                    | IN clear_tr_sed()                                                               
24-May-11 17:35:06.534253 | DEBUG    | MAIN LOGGER                    | IN connect_pages_template(lw_pt)                                                
24-May-11 17:35:06.534532 | DEBUG    | MAIN LOGGER                    | IN connect_inputforms(sa_if, sa_ifl)                                            
24-May-11 17:35:06.534532 | DEBUG    | MAIN LOGGER                    | IN connecting_actions()                                                         
24-May-11 17:35:08.850432 | DEBUG    | MAIN LOGGER                    | IN open_project()                                                               
24-May-11 17:35:08.851439 | DEBUG    | MAIN LOGGER                    | get_default_folder_projects_dirpath() -> str: C:/Users/hayar/Documents\AutoExecDoc Projects
24-May-11 17:35:13.076517 | DEBUG    | MAIN LOGGER                    | select_folder_for_open_project() -> D:/общая папка/Новосергеевка                
24-May-11 17:35:13.077517 | DEBUG    | MAIN LOGGER                    | IN set_project_dirpaths(folder_path: str): folder_path = D:/общая папка/Новосергеевка
24-May-11 17:35:13.077517 | DEBUG    | MAIN LOGGER                    | set_project_dirpath(dirpath: str): dirpath = D:/общая папка/Новосергеевка       
24-May-11 17:35:13.077517 | DEBUG    | MAIN LOGGER                    | get_project_dirpath() -> str: D:/общая папка/Новосергеевка                      
24-May-11 17:35:13.078519 | DEBUG    | MAIN LOGGER                    | set_db_project_dirpath(dirpath: str): dirpath = D:/общая папка/Новосергеевка\project.db
24-May-11 17:35:13.078519 | DEBUG    | MAIN LOGGER                    | IN config_open_project()                                                        
24-May-11 17:35:13.078519 | DEBUG    | MAIN LOGGER                    | get_project_dirpath() -> str: D:/общая папка/Новосергеевка                      
24-May-11 17:35:13.078519 | DEBUG    | MAIN LOGGER                    | IN add_or_update_open_project_to_db()                                           
24-May-11 17:35:13.079518 | DEBUG    | MAIN LOGGER                    | get_db_settings_dirpath() -> str: d:\work\project\AutoExecDoc\db\settings.db    
24-May-11 17:35:13.079518 | DEBUG    | MAIN LOGGER                    | get_project_dirpath() -> str: D:/общая папка/Новосергеевка                      
24-May-11 17:35:13.079518 | DEBUG    | MAIN LOGGER                    | get_project_dirpath() -> str: D:/общая папка/Новосергеевка                      
24-May-11 17:35:13.080518 | DEBUG    | MAIN LOGGER                    | IN update_project_to_db()                                                       
24-May-11 17:35:13.080518 | DEBUG    | MAIN LOGGER                    | get_db_settings_dirpath() -> str: d:\work\project\AutoExecDoc\db\settings.db    
24-May-11 17:35:13.080518 | DEBUG    | MAIN LOGGER                    | get_project_dirpath() -> str: D:/общая папка/Новосергеевка                      
24-May-11 17:35:13.081552 | DEBUG    | MAIN LOGGER                    | get_project_dirpath() -> str: D:/общая папка/Новосергеевка                      
24-May-11 17:35:13.086361 | DEBUG    | MAIN LOGGER                    | IN create_and_config_db_project()                                               
24-May-11 17:35:13.086361 | DEBUG    | MAIN LOGGER                    | get_db_project_dirpath() -> str: D:/общая папка/Новосергеевка\project.db        
24-May-11 17:35:13.086361 | DEBUG    | MAIN LOGGER                    | IN set_all_included_in_db_project_to_true()                                     
24-May-11 17:35:13.087610 | DEBUG    | MAIN LOGGER                    | get_db_project_dirpath() -> str: D:/общая папка/Новосергеевка\project.db        
24-May-11 17:35:13.088613 | DEBUG    | MAIN LOGGER                    | IN update_structure_exec_doc()                                                  
24-May-11 17:35:13.088613 | DEBUG    | MAIN LOGGER                    | IN clear_tr_sed()                                                               
24-May-11 17:35:13.089615 | DEBUG    | MAIN LOGGER                    | get_current_name() -> str: Новосергеевка                                        
24-May-11 17:35:13.090614 | DEBUG    | MAIN LOGGER                    | IN get_project_node() -> object                                                 
24-May-11 17:35:13.090614 | DEBUG    | MAIN LOGGER                    | get_db_project_dirpath() -> str: D:/общая папка/Новосергеевка\project.db        
24-May-11 17:35:13.091614 | DEBUG    | MAIN LOGGER                    | IN dfs(parent_node): parent_node = {'id_node': 0, 'name_node': 'Проект', 'id_parent': None, 'order_node': '0', 'type_node': 'PROJECT', 'template_name': None, 'included': 1}
24-May-11 17:35:13.091614 | DEBUG    | MAIN LOGGER                    | IN get_childs(parent_node) -> list: parent_node = {'id_node': 0, 'name_node': 'Проект', 'id_parent': None, 'order_node': '0', 'type_node': 'PROJECT', 'template_name': None, 'included': 1}
24-May-11 17:35:13.092614 | DEBUG    | MAIN LOGGER                    | get_db_project_dirpath() -> str: D:/общая папка/Новосергеевка\project.db        
24-May-11 17:35:13.093618 | DEBUG    | MAIN LOGGER                    | IN set_item_in_nodes_to_items(node): node = {'id_node': 10, 'name_node': 'Титульный лист', 'id_parent': 0, 'order_node': '1', 'type_node': 'FORM', 'template_name': 'main', 'included': 1}
24-May-11 17:35:13.095615 | DEBUG    | MAIN LOGGER                    | IN set_state_included_for_childs(node, state): id_node = 10, state = False      
24-May-11 17:35:13.095615 | DEBUG    | MAIN LOGGER                    | IN set_included_for_node(node, state): node = {'id_node': 10, 'name_node': 'Титульный лист', 'id_parent': 0, 'order_node': '1', 'type_node': 'FORM', 'template_name': 'main', 'included': 1}, state = 0
24-May-11 17:35:13.095615 | DEBUG    | MAIN LOGGER                    | get_db_project_dirpath() -> str: D:/общая папка/Новосергеевка\project.db        
24-May-11 17:35:13.100630 | DEBUG    | MAIN LOGGER                    | IN set_state_included_for_childs(node, state): id_node = 10, state = True       
24-May-11 17:35:13.100630 | DEBUG    | MAIN LOGGER                    | IN set_included_for_node(node, state): node = {'id_node': 10, 'name_node': 'Титульный лист', 'id_parent': 0, 'order_node': '1', 'type_node': 'FORM', 'template_name': 'main', 'included': 1}, state = 1
24-May-11 17:35:13.101615 | DEBUG    | MAIN LOGGER                    | get_db_project_dirpath() -> str: D:/общая папка/Новосергеевка\project.db        
24-May-11 17:35:13.105625 | DEBUG    | MAIN LOGGER                    | IN dfs(parent_node): parent_node = {'id_node': 10, 'name_node': 'Титульный лист', 'id_parent': 0, 'order_node': '1', 'type_node': 'FORM', 'template_name': 'main', 'included': 1}
24-May-11 17:35:13.106632 | DEBUG    | MAIN LOGGER                    | IN get_childs(parent_node) -> list: parent_node = {'id_node': 10, 'name_node': 'Титульный лист', 'id_parent': 0, 'order_node': '1', 'type_node': 'FORM', 'template_name': 'main', 'included': 1}
24-May-11 17:35:13.106632 | DEBUG    | MAIN LOGGER                    | get_db_project_dirpath() -> str: D:/общая папка/Новосергеевка\project.db        
24-May-11 17:35:13.107618 | DEBUG    | MAIN LOGGER                    | IN set_item_in_nodes_to_items(node): node = {'id_node': 11, 'name_node': 'Реестр документации', 'id_parent': 0, 'order_node': '2', 'type_node': 'FORM', 'template_name': 'main', 'included': 1}
24-May-11 17:35:13.108620 | DEBUG    | MAIN LOGGER                    | IN set_state_included_for_childs(node, state): id_node = 11, state = False      
24-May-11 17:35:13.108620 | DEBUG    | MAIN LOGGER                    | IN set_included_for_node(node, state): node = {'id_node': 11, 'name_node': 'Реестр документации', 'id_parent': 0, 'order_node': '2', 'type_node': 'FORM', 'template_name': 'main', 'included': 1}, state = 0
24-May-11 17:35:13.109618 | DEBUG    | MAIN LOGGER                    | get_db_project_dirpath() -> str: D:/общая папка/Новосергеевка\project.db        
24-May-11 17:35:13.113309 | DEBUG    | MAIN LOGGER                    | IN set_state_included_for_childs(node, state): id_node = 11, state = True       
24-May-11 17:35:13.114311 | DEBUG    | MAIN LOGGER                    | IN set_included_for_node(node, state): node = {'id_node': 11, 'name_node': 'Реестр документации', 'id_parent': 0, 'order_node': '2', 'type_node': 'FORM', 'template_name': 'main', 'included': 1}, state = 1
24-May-11 17:35:13.114311 | DEBUG    | MAIN LOGGER                    | get_db_project_dirpath() -> str: D:/общая папка/Новосергеевка\project.db        
24-May-11 17:35:13.117310 | DEBUG    | MAIN LOGGER                    | IN dfs(parent_node): parent_node = {'id_node': 11, 'name_node': 'Реестр документации', 'id_parent': 0, 'order_node': '2', 'type_node': 'FORM', 'template_name': 'main', 'included': 1}
24-May-11 17:35:13.118310 | DEBUG    | MAIN LOGGER                    | IN get_childs(parent_node) -> list: parent_node = {'id_node': 11, 'name_node': 'Реестр документации', 'id_parent': 0, 'order_node': '2', 'type_node': 'FORM', 'template_name': 'main', 'included': 1}
24-May-11 17:35:13.119311 | DEBUG    | MAIN LOGGER                    | get_db_project_dirpath() -> str: D:/общая папка/Новосергеевка\project.db        
24-May-11 17:35:13.120313 | DEBUG    | MAIN LOGGER                    | IN set_item_in_nodes_to_items(node): node = {'id_node': 12, 'name_node': 'Паспорт трассы', 'id_parent': 0, 'order_node': '3', 'type_node': 'GROUP', 'template_name': None, 'included': 1}
24-May-11 17:35:13.121312 | DEBUG    | MAIN LOGGER                    | IN set_state_included_for_childs(node, state): id_node = 12, state = False      
24-May-11 17:35:13.121312 | DEBUG    | MAIN LOGGER                    | IN set_included_for_node(node, state): node = {'id_node': 12, 'name_node': 'Паспорт трассы', 'id_parent': 0, 'order_node': '3', 'type_node': 'GROUP', 'template_name': None, 'included': 1}, state = 0
24-May-11 17:35:13.122313 | DEBUG    | MAIN LOGGER                    | get_db_project_dirpath() -> str: D:/общая папка/Новосергеевка\project.db        
24-May-11 17:35:13.125312 | DEBUG    | MAIN LOGGER                    | IN set_state_included_for_childs(node, state): id_node = 12, state = True       
24-May-11 17:35:13.125312 | DEBUG    | MAIN LOGGER                    | IN set_included_for_node(node, state): node = {'id_node': 12, 'name_node': 'Паспорт трассы', 'id_parent': 0, 'order_node': '3', 'type_node': 'GROUP', 'template_name': None, 'included': 1}, state = 1
24-May-11 17:35:13.126312 | DEBUG    | MAIN LOGGER                    | get_db_project_dirpath() -> str: D:/общая папка/Новосергеевка\project.db        
24-May-11 17:35:13.130315 | DEBUG    | MAIN LOGGER                    | IN dfs(parent_node): parent_node = {'id_node': 12, 'name_node': 'Паспорт трассы', 'id_parent': 0, 'order_node': '3', 'type_node': 'GROUP', 'template_name': None, 'included': 1}
24-May-11 17:35:13.130315 | DEBUG    | MAIN LOGGER                    | IN get_childs(parent_node) -> list: parent_node = {'id_node': 12, 'name_node': 'Паспорт трассы', 'id_parent': 0, 'order_node': '3', 'type_node': 'GROUP', 'template_name': None, 'included': 1}
24-May-11 17:35:13.131315 | DEBUG    | MAIN LOGGER                    | get_db_project_dirpath() -> str: D:/общая папка/Новосергеевка\project.db        
24-May-11 17:35:13.131315 | DEBUG    | MAIN LOGGER                    | IN set_item_in_nodes_to_items(node): node = {'id_node': 1201, 'name_node': 'ПТ-1', 'id_parent': 12, 'order_node': '1', 'type_node': 'FORM', 'template_name': 'main', 'included': 1}
24-May-11 17:35:13.132314 | DEBUG    | MAIN LOGGER                    | IN set_state_included_for_childs(node, state): id_node = 1201, state = False    
24-May-11 17:35:13.132314 | DEBUG    | MAIN LOGGER                    | IN set_included_for_node(node, state): node = {'id_node': 1201, 'name_node': 'ПТ-1', 'id_parent': 12, 'order_node': '1', 'type_node': 'FORM', 'template_name': 'main', 'included': 1}, state = 0
24-May-11 17:35:13.133316 | DEBUG    | MAIN LOGGER                    | get_db_project_dirpath() -> str: D:/общая папка/Новосергеевка\project.db        
24-May-11 17:35:13.137178 | DEBUG    | MAIN LOGGER                    | IN set_state_included_for_childs(node, state): id_node = 1201, state = True     
24-May-11 17:35:13.137178 | DEBUG    | MAIN LOGGER                    | IN set_included_for_node(node, state): node = {'id_node': 1201, 'name_node': 'ПТ-1', 'id_parent': 12, 'order_node': '1', 'type_node': 'FORM', 'template_name': 'main', 'included': 1}, state = 1
24-May-11 17:35:13.138182 | DEBUG    | MAIN LOGGER                    | get_db_project_dirpath() -> str: D:/общая папка/Новосергеевка\project.db        
24-May-11 17:35:13.141395 | DEBUG    | MAIN LOGGER                    | IN dfs(parent_node): parent_node = {'id_node': 1201, 'name_node': 'ПТ-1', 'id_parent': 12, 'order_node': '1', 'type_node': 'FORM', 'template_name': 'main', 'included': 1}
24-May-11 17:35:13.141395 | DEBUG    | MAIN LOGGER                    | IN get_childs(parent_node) -> list: parent_node = {'id_node': 1201, 'name_node': 'ПТ-1', 'id_parent': 12, 'order_node': '1', 'type_node': 'FORM', 'template_name': 'main', 'included': 1}
24-May-11 17:35:13.142400 | DEBUG    | MAIN LOGGER                    | get_db_project_dirpath() -> str: D:/общая папка/Новосергеевка\project.db        
24-May-11 17:35:13.143400 | DEBUG    | MAIN LOGGER                    | IN set_item_in_nodes_to_items(node): node = {'id_node': 1202, 'name_node': 'ПТ-2', 'id_parent': 12, 'order_node': '2', 'type_node': 'FORM', 'template_name': 'main', 'included': 1}
24-May-11 17:35:13.144398 | DEBUG    | MAIN LOGGER                    | IN set_state_included_for_childs(node, state): id_node = 1202, state = False    
24-May-11 17:35:13.145399 | DEBUG    | MAIN LOGGER                    | IN set_included_for_node(node, state): node = {'id_node': 1202, 'name_node': 'ПТ-2', 'id_parent': 12, 'order_node': '2', 'type_node': 'FORM', 'template_name': 'main', 'included': 1}, state = 0
24-May-11 17:35:13.145399 | DEBUG    | MAIN LOGGER                    | get_db_project_dirpath() -> str: D:/общая папка/Новосергеевка\project.db        
24-May-11 17:35:13.149166 | DEBUG    | MAIN LOGGER                    | IN set_state_included_for_childs(node, state): id_node = 1202, state = True     
24-May-11 17:35:13.150168 | DEBUG    | MAIN LOGGER                    | IN set_included_for_node(node, state): node = {'id_node': 1202, 'name_node': 'ПТ-2', 'id_parent': 12, 'order_node': '2', 'type_node': 'FORM', 'template_name': 'main', 'included': 1}, state = 1
24-May-11 17:35:13.150168 | DEBUG    | MAIN LOGGER                    | get_db_project_dirpath() -> str: D:/общая папка/Новосергеевка\project.db        
24-May-11 17:35:13.153167 | DEBUG    | MAIN LOGGER                    | IN dfs(parent_node): parent_node = {'id_node': 1202, 'name_node': 'ПТ-2', 'id_parent': 12, 'order_node': '2', 'type_node': 'FORM', 'template_name': 'main', 'included': 1}
24-May-11 17:35:13.154169 | DEBUG    | MAIN LOGGER                    | IN get_childs(parent_node) -> list: parent_node = {'id_node': 1202, 'name_node': 'ПТ-2', 'id_parent': 12, 'order_node': '2', 'type_node': 'FORM', 'template_name': 'main', 'included': 1}
24-May-11 17:35:13.155171 | DEBUG    | MAIN LOGGER                    | get_db_project_dirpath() -> str: D:/общая папка/Новосергеевка\project.db        
24-May-11 17:35:13.155171 | DEBUG    | MAIN LOGGER                    | IN set_item_in_nodes_to_items(node): node = {'id_node': 1203, 'name_node': 'ПТ-3', 'id_parent': 12, 'order_node': '3', 'type_node': 'FORM', 'template_name': 'main', 'included': 1}
24-May-11 17:35:13.156172 | DEBUG    | MAIN LOGGER                    | IN set_state_included_for_childs(node, state): id_node = 1203, state = False    
24-May-11 17:35:13.157171 | DEBUG    | MAIN LOGGER                    | IN set_included_for_node(node, state): node = {'id_node': 1203, 'name_node': 'ПТ-3', 'id_parent': 12, 'order_node': '3', 'type_node': 'FORM', 'template_name': 'main', 'included': 1}, state = 0
24-May-11 17:35:13.157171 | DEBUG    | MAIN LOGGER                    | get_db_project_dirpath() -> str: D:/общая папка/Новосергеевка\project.db        
24-May-11 17:35:13.161170 | DEBUG    | MAIN LOGGER                    | IN set_state_included_for_childs(node, state): id_node = 1203, state = True     
