24-Apr-19 01:14:58.924645 | DEBUG    | MAIN LOGGER                    | Config logger                                                                   
24-Apr-19 01:14:58.926241 | DEBUG    | MAIN LOGGER                    | IN create_and_config_files_and_folders()                                        
24-Apr-19 01:14:58.926241 | DEBUG    | MAIN LOGGER                    | get_default_folder_projects_dirpath() -> str: C:/Users/hayar/OneDrive/Документы\AutoExecDoc Projects
24-Apr-19 01:14:58.927237 | DEBUG    | MAIN LOGGER                    | IN create_and_config_db_settings()                                              
24-Apr-19 01:14:58.927237 | DEBUG    | MAIN LOGGER                    | get_db_settings_dirpath() -> str: d:\work\project\AutoExecDoc\db\settings.db    
24-Apr-19 01:14:58.956287 | DEBUG    | MAIN LOGGER                    | IN view_test_pdf(self):                                                         
24-Apr-19 01:14:58.957286 | DEBUG    | MAIN LOGGER                    | get_documents_dirpath() -> str: C:/Users/hayar/OneDrive/Документы               
24-Apr-19 01:14:58.957286 | DEBUG    | MAIN LOGGER                    | IN load_pdf_for_view(self, file_path): file_path = C:\Users\hayar\OneDrive\Документы\test.pdf
24-Apr-19 01:14:58.987294 | DEBUG    | MAIN LOGGER                    | IN config_controllers()                                                         
24-Apr-19 01:14:58.988293 | DEBUG    | MAIN LOGGER                    | IN connect_statusbar()                                                          
24-Apr-19 01:14:58.989296 | DEBUG    | MAIN LOGGER                    | set_statusbar()                                                                 
24-Apr-19 01:14:58.989296 | DEBUG    | MAIN LOGGER                    | get_statusbar()                                                                 
24-Apr-19 01:14:58.989296 | DEBUG    | MAIN LOGGER                    | set_message_for_statusbar(Проект не открыт)                                     
24-Apr-19 01:14:58.990294 | DEBUG    | MAIN LOGGER                    | IN connect_structureexecdoc(tr_sed, title_sed)                                  
24-Apr-19 01:14:58.990294 | DEBUG    | MAIN LOGGER                    | set_tr_sed()                                                                    
24-Apr-19 01:14:58.990294 | DEBUG    | MAIN LOGGER                    | set_title_sed()                                                                 
24-Apr-19 01:14:58.990294 | DEBUG    | MAIN LOGGER                    | IN clear_tr_sed()                                                               
24-Apr-19 01:14:58.991293 | DEBUG    | MAIN LOGGER                    | get_tr_sed() -> object                                                          
24-Apr-19 01:14:58.991293 | DEBUG    | MAIN LOGGER                    | get_tr_sed() -> object                                                          
24-Apr-19 01:14:58.992294 | DEBUG    | MAIN LOGGER                    | get_title_sed()                                                                 
24-Apr-19 01:14:58.992294 | DEBUG    | MAIN LOGGER                    | get_tr_sed() -> object                                                          
24-Apr-19 01:14:58.993294 | DEBUG    | MAIN LOGGER                    | IN connect_pages_template(lw_pt)                                                
24-Apr-19 01:14:58.993294 | DEBUG    | MAIN LOGGER                    | set_lw_pt()                                                                     
24-Apr-19 01:14:58.994296 | DEBUG    | MAIN LOGGER                    | set_title_pt()                                                                  
24-Apr-19 01:14:58.994296 | DEBUG    | MAIN LOGGER                    | get_lw_pt()                                                                     
24-Apr-19 01:14:58.995295 | DEBUG    | MAIN LOGGER                    | get_title_pt()                                                                  
24-Apr-19 01:14:58.995295 | DEBUG    | MAIN LOGGER                    | get_lw_pt()                                                                     
24-Apr-19 01:14:58.996295 | DEBUG    | MAIN LOGGER                    | IN connect_pages_template(sa_if, sa_ifl)                                        
24-Apr-19 01:14:58.996295 | DEBUG    | MAIN LOGGER                    | set_sa()                                                                        
24-Apr-19 01:14:58.996295 | DEBUG    | MAIN LOGGER                    | IN connecting_actions()                                                         
24-Apr-19 01:15:00.041389 | DEBUG    | MAIN LOGGER                    | IN open_project()                                                               
24-Apr-19 01:15:00.042391 | DEBUG    | MAIN LOGGER                    | is_active_status() -> bool: False                                               
24-Apr-19 01:15:00.043391 | DEBUG    | MAIN LOGGER                    | get_default_folder_projects_dirpath() -> str: C:/Users/hayar/OneDrive/Документы\AutoExecDoc Projects
24-Apr-19 01:15:01.796857 | DEBUG    | MAIN LOGGER                    | select_folder_for_open_project() -> C:/Users/hayar/OneDrive/Документы/AutoExecDoc Projects/вавапв
24-Apr-19 01:15:01.797857 | DEBUG    | MAIN LOGGER                    | IN set_project_dirpaths(folder_path: str): folder_path = C:/Users/hayar/OneDrive/Документы/AutoExecDoc Projects/вавапв
24-Apr-19 01:15:01.797857 | DEBUG    | MAIN LOGGER                    | set_project_dirpath(dirpath: str): dirpath = C:/Users/hayar/OneDrive/Документы/AutoExecDoc Projects/вавапв
24-Apr-19 01:15:01.798857 | DEBUG    | MAIN LOGGER                    | get_project_dirpath() -> str: C:/Users/hayar/OneDrive/Документы/AutoExecDoc Projects/вавапв
24-Apr-19 01:15:01.799856 | DEBUG    | MAIN LOGGER                    | set_db_project_dirpath(dirpath: str): dirpath = C:/Users/hayar/OneDrive/Документы/AutoExecDoc Projects/вавапв\project.db
24-Apr-19 01:15:01.799856 | DEBUG    | MAIN LOGGER                    | IN config_open_project()                                                        
24-Apr-19 01:15:01.800859 | DEBUG    | MAIN LOGGER                    | get_project_dirpath() -> str: C:/Users/hayar/OneDrive/Документы/AutoExecDoc Projects/вавапв
24-Apr-19 01:15:01.800859 | DEBUG    | MAIN LOGGER                    | set_current_name(name: str): name = вавапв                                      
24-Apr-19 01:15:01.801858 | DEBUG    | MAIN LOGGER                    | IN add_or_update_open_project_to_db()                                           
24-Apr-19 01:15:01.801858 | DEBUG    | MAIN LOGGER                    | get_db_settings_dirpath() -> str: d:\work\project\AutoExecDoc\db\settings.db    
24-Apr-19 01:15:01.803859 | DEBUG    | MAIN LOGGER                    | get_project_dirpath() -> str: C:/Users/hayar/OneDrive/Документы/AutoExecDoc Projects/вавапв
24-Apr-19 01:15:01.804859 | DEBUG    | MAIN LOGGER                    | get_project_dirpath() -> str: C:/Users/hayar/OneDrive/Документы/AutoExecDoc Projects/вавапв
24-Apr-19 01:15:01.804859 | DEBUG    | MAIN LOGGER                    | IN update_project_to_db()                                                       
24-Apr-19 01:15:01.805858 | DEBUG    | MAIN LOGGER                    | get_db_settings_dirpath() -> str: d:\work\project\AutoExecDoc\db\settings.db    
24-Apr-19 01:15:01.806859 | DEBUG    | MAIN LOGGER                    | get_project_dirpath() -> str: C:/Users/hayar/OneDrive/Документы/AutoExecDoc Projects/вавапв
24-Apr-19 01:15:01.806859 | DEBUG    | MAIN LOGGER                    | get_project_dirpath() -> str: C:/Users/hayar/OneDrive/Документы/AutoExecDoc Projects/вавапв
24-Apr-19 01:15:01.811860 | DEBUG    | MAIN LOGGER                    | IN create_and_config_db_project()                                               
24-Apr-19 01:15:01.812861 | DEBUG    | MAIN LOGGER                    | get_db_project_dirpath() -> str: C:/Users/hayar/OneDrive/Документы/AutoExecDoc Projects/вавапв\project.db
24-Apr-19 01:15:01.813861 | DEBUG    | MAIN LOGGER                    | IN update_structure_exec_doc()                                                  
24-Apr-19 01:15:01.813861 | DEBUG    | MAIN LOGGER                    | IN clear_tr_sed()                                                               
24-Apr-19 01:15:01.814863 | DEBUG    | MAIN LOGGER                    | get_tr_sed() -> object                                                          
24-Apr-19 01:15:01.815863 | DEBUG    | MAIN LOGGER                    | get_tr_sed() -> object                                                          
24-Apr-19 01:15:01.815863 | DEBUG    | MAIN LOGGER                    | get_title_sed()                                                                 
24-Apr-19 01:15:01.816861 | DEBUG    | MAIN LOGGER                    | get_current_name() -> str: вавапв                                               
24-Apr-19 01:15:01.816861 | DEBUG    | MAIN LOGGER                    | get_tr_sed() -> object                                                          
24-Apr-19 01:15:01.817860 | DEBUG    | MAIN LOGGER                    | get_title_sed()                                                                 
24-Apr-19 01:15:01.818861 | DEBUG    | MAIN LOGGER                    | IN get_project_node()                                                           
24-Apr-19 01:15:01.819861 | DEBUG    | MAIN LOGGER                    | get_db_project_dirpath() -> str: C:/Users/hayar/OneDrive/Документы/AutoExecDoc Projects/вавапв\project.db
24-Apr-19 01:15:01.820863 | DEBUG    | MAIN LOGGER                    | IN dfs(parent_node): parent_node = {'id_node': 0, 'name_node': 'Проект', 'id_parent': None, 'order_node': 0, 'type_node': 'PROJECT', 'template_name': None, 'folder_form': None}
24-Apr-19 01:15:01.821862 | DEBUG    | MAIN LOGGER                    | IN get_childs({'id_node': 0, 'name_node': 'Проект', 'id_parent': None, 'order_node': 0, 'type_node': 'PROJECT', 'template_name': None, 'folder_form': None}: int) 
