24-Apr-21 17:49:27.335485 | DEBUG    | MAIN LOGGER                    | Config logger                                                                   
24-Apr-21 17:49:27.336485 | DEBUG    | MAIN LOGGER                    | IN create_and_config_files_and_folders()                                        
24-Apr-21 17:49:27.336485 | DEBUG    | MAIN LOGGER                    | get_default_folder_projects_dirpath() -> str: C:/Users/hayar/OneDrive/Документы\AutoExecDoc Projects
24-Apr-21 17:49:27.336485 | DEBUG    | MAIN LOGGER                    | IN create_and_config_db_settings()                                              
24-Apr-21 17:49:27.337486 | DEBUG    | MAIN LOGGER                    | get_db_settings_dirpath() -> str: d:\work\project\AutoExecDoc\db\settings.db    
24-Apr-21 17:49:27.760497 | DEBUG    | MAIN LOGGER                    | IN config_controllers()                                                         
24-Apr-21 17:49:27.760497 | DEBUG    | MAIN LOGGER                    | IN connect_statusbar(statusbar)                                                 
24-Apr-21 17:49:27.761483 | DEBUG    | MAIN LOGGER                    | set_message_for_statusbar(Проект не открыт)                                     
24-Apr-21 17:49:27.761483 | DEBUG    | MAIN LOGGER                    | IN connect_structureexecdoc(tr_sed, title_sed)                                  
24-Apr-21 17:49:27.761483 | DEBUG    | MAIN LOGGER                    | IN clear_tr_sed()                                                               
24-Apr-21 17:49:27.762483 | DEBUG    | MAIN LOGGER                    | IN connect_pages_template(lw_pt)                                                
24-Apr-21 17:49:27.762483 | DEBUG    | MAIN LOGGER                    | IN connect_inputforms(sa_if, sa_ifl)                                            
24-Apr-21 17:49:27.762483 | DEBUG    | MAIN LOGGER                    | IN connecting_actions()                                                         
24-Apr-21 17:49:28.884843 | DEBUG    | MAIN LOGGER                    | IN open_project()                                                               
24-Apr-21 17:49:28.885843 | DEBUG    | MAIN LOGGER                    | get_default_folder_projects_dirpath() -> str: C:/Users/hayar/OneDrive/Документы\AutoExecDoc Projects
24-Apr-21 17:49:30.617849 | DEBUG    | MAIN LOGGER                    | select_folder_for_open_project() -> C:/Users/hayar/OneDrive/Документы/AutoExecDoc Projects/РАРАРАР
24-Apr-21 17:49:30.618848 | DEBUG    | MAIN LOGGER                    | IN set_project_dirpaths(folder_path: str): folder_path = C:/Users/hayar/OneDrive/Документы/AutoExecDoc Projects/РАРАРАР
24-Apr-21 17:49:30.618848 | DEBUG    | MAIN LOGGER                    | set_project_dirpath(dirpath: str): dirpath = C:/Users/hayar/OneDrive/Документы/AutoExecDoc Projects/РАРАРАР
24-Apr-21 17:49:30.619848 | DEBUG    | MAIN LOGGER                    | get_project_dirpath() -> str: C:/Users/hayar/OneDrive/Документы/AutoExecDoc Projects/РАРАРАР
